login,account,autotest,,,,"< value=""086102"">工商?行"
login,pw,autotest,,,,"< value=""086308"">招商?行"
login,Name,autotest wang,,,,"< value=""086103"">???行"
bankacct,Bank Account Provider ,IT Provider A,,,,"< value=""086104"">中??行"
bankacct,Bank Name,86105,,,,"< value=""086305"">中?民生?行"
bankacct,Bank Account Number ,2882019195566 ,,,,"< value=""086309"">???行"
bankacct,Currency,CNY,,,,"< value=""086310"">浦??展?行"
bankacct,Bank Account Nature,Deposit,,,,"< value=""086301"">交通?行"
bankacct,Owner Name,autolee5566,,,,"< value=""086302"">中信?行"
bankacct,Province,autolee5566,,,,"< value=""086303"">光大?行"
bankacct,City,autolee5566,,,,"< value=""086304"">?夏?行"
bankacct,Branch Name,autolee5566,,,,"< value=""086306"">???展?行"
bankacct,System Switch Enabled,Enable,,,,"< value=""086502"">平安?行"
bankacct,SMS Statement Enable ,Enable,,,,"< value=""086501"">北京?行"
bankacct,Remark (unique string/numner),autolee5566,,,,"< value=""086503"">南京?行"
bankacct,Received Timestamp ,2019/5/1,,,,"< value=""086403"">?政??局"
bankacct,Bank Account Provider ,IT Provider B,,,,"< value=""086318"">渤海?行"
bankacct,Bank Name,86105,,,,"< value=""086507"">上海?行"
bankacct,Bank Account Number ,2882019196464 ,,,,"< value=""086517"">上海市?村商??行"
bankacct,Currency,CNY,,,,"< value=""086320"">???行"
bankacct,Bank Account Nature,Deposit,,,,"< value=""086321"">?????行"
bankacct,Owner Name,autolee6464,,,,"< value=""086322"">杭州?行"
bankacct,Province,autolee6464,,,,"< value=""086323"">桂林?行"
bankacct,City,autolee6464,,,,"< value=""086324"">?西北部??行"
bankacct,Branch Name,autolee6464,,,,"< value=""086328"">柳州?行"
bankacct,System Switch Enabled,Enable,,,,"< value=""086540"">天津?行"
bankacct,SMS Statement Enable ,Enable,,,,"< value=""086541"">重??村商??行"
bankacct,Remark (unique string/numner),autolee6464,,,,"< value=""086542"">YLPay"
bankacct,Received Timestamp ,2019/5/1,,,,"< value=""886013"">國泰世華銀行"
,,,,,,"< value=""886009"">彰化銀行"
,,,,,,"< value=""886808"">玉山銀行"
